,Date,Open,High,Low,Close,Volume,Price Change,Gain,Loss,Average Gain,Average Loss,RS,RSI
22,2023-09-13,30.86,31.39,30.8,31.31,"50,836",,0.0,-0.0,,,,
21,2023-09-14,31.36,32.0,31.36,31.95,"43,464",0.5,0.5,-0.0,,,,
20,2023-09-15,31.96,32.09,31.5,31.57,"151,189",0.6000000000000014,0.6000000000000014,-0.0,,,,
19,2023-09-18,31.62,31.68,30.8,30.9,"88,300",-0.33999999999999986,0.0,0.33999999999999986,,,,
18,2023-09-19,30.88,31.44,30.81,31.09,"101,968",-0.740000000000002,0.0,0.740000000000002,,,,
17,2023-09-20,31.14,31.71,30.73,31.35,"68,194",0.26000000000000156,0.26000000000000156,-0.0,,,,
16,2023-09-21,31.13,31.42,30.75,30.85,"115,704",-0.010000000000001563,0.0,0.010000000000001563,,,,
15,2023-09-22,30.83,30.86,30.09,30.13,"102,583",-0.3000000000000007,0.0,0.3000000000000007,,,,
14,2023-09-25,30.0,30.35,29.44,29.54,"100,818",-0.8299999999999983,0.0,0.8299999999999983,,,,
13,2023-09-26,29.49,30.0,29.12,29.18,"83,118",-0.5100000000000016,0.0,0.5100000000000016,,,,
12,2023-09-27,29.46,29.89,28.7,29.19,"94,480",-0.029999999999997584,0.0,0.029999999999997584,,,,
11,2023-09-28,28.97,29.14,28.64,28.71,"87,329",-0.490000000000002,0.0,0.490000000000002,,,,
10,2023-09-29,28.86,28.86,28.16,28.25,"102,849",-0.10999999999999943,0.0,0.10999999999999943,,,,
9,2023-10-02,28.12,28.85,27.77,27.83,"73,051",-0.7399999999999984,0.0,0.7399999999999984,0.09714285714285735,0.292857142857143,0.3317073170731713,24.908424908424934
8,2023-10-03,27.59,27.59,23.8,23.94,"386,004",-0.5300000000000011,0.0,0.5300000000000011,0.09714285714285735,0.3307142857142859,0.29373650107991406,22.70450751252089
7,2023-10-04,24.47,25.26,24.32,25.2,"139,491",-3.120000000000001,0.0,3.120000000000001,0.061428571428571645,0.5535714285714288,0.11096774193548421,9.988385598141718
6,2023-10-05,25.13,25.44,24.63,24.74,"119,476",0.6600000000000001,0.6600000000000001,-0.0,0.06571428571428584,0.5535714285714288,0.11870967741935501,10.611303344867366
5,2023-10-06,24.7,25.68,24.38,25.36,"115,469",-0.4299999999999997,0.0,0.4299999999999997,0.06571428571428584,0.5600000000000003,0.11734693877551036,10.50228310502284
4,2023-10-09,25.19,25.62,25.19,25.41,"66,030",0.490000000000002,0.490000000000002,-0.0,0.10071428571428598,0.5071428571428572,0.19859154929577513,16.56874265569921
3,2023-10-10,25.61,26.1,25.03,25.16,"85,928",0.41999999999999815,0.41999999999999815,-0.0,0.11214285714285717,0.5071428571428572,0.2211267605633803,18.108419838523645
2,2023-10-11,25.32,26.02,24.96,25.83,"106,946",-0.28999999999999915,0.0,0.28999999999999915,0.11214285714285717,0.527142857142857,0.21273712737127382,17.541899441340775
1,2023-10-12,25.77,25.77,24.33,24.85,"85,179",0.4499999999999993,0.4499999999999993,-0.0,0.14428571428571427,0.5057142857142856,0.28531073446327687,22.19780219780219
0,2023-10-13,25.0,25.04,24.17,24.37,"118,086",-0.7699999999999996,0.0,0.7699999999999996,0.14428571428571427,0.5014285714285714,0.2877492877492877,22.34513274336284
